bid_detail:    		竞价详情
boat_detail:   		船盘详情
boat_match:             竞价船盘
change_password:        修改密码
fill_boat:     		船盘填写
fill_boat_add: 		船盘填写-添加船盘
fill_boat_choose:     	船盘填写-地址选择
fill_boat_new:          新船盘填写
fill_pallet:		货盘填写
index:			主页
login:			登录
namecard:		公司名片
offer：			报价
offer_history:		报价历史
pallet_bid:		竞价货盘
pallet_bid_detail:	竞价货盘详情
pallet_detail: 		货盘详情
pallet_match:		竞价货盘
register:		快速注册
register_address:	认证注册-地址选择
register_renzheng:	认证注册
register_renzheng2:	认证注册2
release_pallet:		发布货盘信息
release_pallet2:	发布货盘信息2
serve:			客户服务
user：    		个人中心
user_bid：		个人中心-竞价详情
user_bid_la：		个人中心-竞价详情-下拉
user_vip:		个人中心-vip
